python3 main_fed.py --dataset cifar10 --num_channels 3 --epochs 100 --gpu 0 --model resnet --iid --num_users 5 --local_ep 5
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
/home/sriniv75/.linuxbrew/Cellar/python@3.9/3.9.6/lib/python3.9/site-packages/torch/nn/functional.py:718: UserWarning: Named tensors and all their associated APIs are an experimental feature and subject to change. Please do not use them for anything important until they are released as stable. (Triggered internally at  /pytorch/c10/core/TensorImpl.h:1156.)
  return torch.max_pool2d(input, kernel_size, stride, padding, dilation, ceil_mode)
Round   0, Average loss 2.681, Top1 17.448, Top5 52.359
Round   1, Average loss 2.452, Top1 25.512, Top5 63.300
Round   2, Average loss 2.324, Top1 29.823, Top5 67.840
Round   3, Average loss 2.208, Top1 33.920, Top5 71.061
Round   4, Average loss 2.099, Top1 37.386, Top5 74.187
Round   5, Average loss 2.028, Top1 39.932, Top5 75.532
Round   6, Average loss 1.952, Top1 42.344, Top5 77.347
Round   7, Average loss 1.917, Top1 43.638, Top5 77.904
Round   8, Average loss 1.856, Top1 45.318, Top5 78.905
Round   9, Average loss 1.820, Top1 46.601, Top5 79.535
Round  10, Average loss 1.786, Top1 47.750, Top5 80.283
Round  11, Average loss 1.729, Top1 49.344, Top5 81.199
Round  12, Average loss 1.693, Top1 50.540, Top5 81.995
Round  13, Average loss 1.688, Top1 50.702, Top5 81.872
Round  14, Average loss 1.651, Top1 51.556, Top5 82.581
Round  15, Average loss 1.626, Top1 52.391, Top5 82.950
Round  16, Average loss 1.592, Top1 53.394, Top5 83.687
Round  17, Average loss 1.576, Top1 53.941, Top5 83.779
Round  18, Average loss 1.547, Top1 54.725, Top5 84.415
Round  19, Average loss 1.541, Top1 55.070, Top5 84.354
Round  20, Average loss 1.526, Top1 55.597, Top5 84.544
Round  21, Average loss 1.508, Top1 55.977, Top5 84.815
Round  22, Average loss 1.491, Top1 56.570, Top5 85.045
Round  23, Average loss 1.472, Top1 56.957, Top5 85.545
Round  24, Average loss 1.459, Top1 57.373, Top5 85.525
Round  25, Average loss 1.441, Top1 57.825, Top5 85.994
Round  26, Average loss 1.433, Top1 58.210, Top5 85.974
Round  27, Average loss 1.413, Top1 58.716, Top5 86.249
Round  28, Average loss 1.401, Top1 59.010, Top5 86.604
Round  29, Average loss 1.397, Top1 59.138, Top5 86.590
Round  30, Average loss 1.375, Top1 59.780, Top5 86.870
Round  31, Average loss 1.351, Top1 60.649, Top5 87.120
Round  32, Average loss 1.340, Top1 60.838, Top5 87.498
Round  33, Average loss 1.335, Top1 61.040, Top5 87.501
